second,lat,lon,alt
0,44.989988333333336,13.757667333333332,6.699999809265137
1,44.989989833333325,13.7576655,6.699999809265137
2,44.990001,13.757658166666666,6.699999809265137
3,44.99002900000001,13.7576415,6.800000190734863
4,44.990059,13.757623166666667,6.800000190734863
5,44.990092999999995,13.7575995,6.900000095367432
6,44.99013166666667,13.757570333333335,7.0
7,44.990171499999995,13.757532,7.099999904632568
8,44.99021016666667,13.757487833333334,7.199999809265137
9,44.99024599999999,13.757437666666666,7.300000190734863
10,44.99027850000001,13.757379333333331,7.400000095367432
11,44.990306333333336,13.7573095,7.400000095367432
12,44.990329,13.757229166666665,7.599999904632568
13,44.99035066666667,13.757141666666666,7.800000190734863
14,44.990371999999994,13.757050833333334,8.199999809265137
15,44.99039316666667,13.756956833333334,8.399999618530273
16,44.99041483333334,13.756860833333333,8.699999809265137
17,44.99043616666666,13.756762499999999,9.0
18,44.990457500000005,13.756662166666668,9.300000190734863
19,44.99047900000001,13.756559833333332,9.600000381469727
20,44.990500833333336,13.75645633333333,9.899999618530273
21,44.990523,13.756350333333334,10.199999809265137
22,44.990544666666665,13.756245000000002,10.600000381469727
23,44.99056783333334,13.7561385,10.899999618530273
24,44.99059183333334,13.756030666666668,11.199999809265137
25,44.9906155,13.755924166666667,11.600000381469727
26,44.9906395,13.755817166666668,11.899999618530273
27,44.99066266666667,13.755712166666667,12.199999809265137
28,44.990685166666665,13.755608166666665,12.600000381469727
29,44.99070766666667,13.755504666666665,12.899999618530273
30,44.990728499999996,13.755403000000001,13.199999809265137
31,44.99075116666666,13.755302666666667,13.699999809265137
32,44.990772666666665,13.755200333333335,14.399999618530273
33,44.9907955,13.755099166666666,14.800000190734863
34,44.990818833333336,13.754997833333334,15.199999809265137
35,44.99084133333334,13.754896666666665,15.600000381469727
36,44.99086366666667,13.754795999999999,16.200000762939453
37,44.9908855,13.754694833333334,16.799999237060547
38,44.990907166666666,13.754595666666667,17.299999237060547
39,44.99093016666667,13.7544985,18.299999237060547
40,44.9909515,13.754401666666668,18.799999237060547
41,44.99097183333333,13.754306333333334,19.200000762939453
42,44.990992999999996,13.754211999999999,19.700000762939453
43,44.99101266666666,13.754122500000001,20.200000762939453
44,44.99103066666667,13.754041500000001,20.700000762939453
45,44.991046999999995,13.753969666666668,21.100000381469727
46,44.9910595,13.753914166666668,21.399999618530273
47,44.9910695,13.753871833333335,21.600000381469727
48,44.99107733333334,13.753839666666666,21.799999237060547
